Unnamed: 0,Weight,FatContent,ProductVisibility,ProductType,MRP,LocationType,OutletType,OutletSales
549,9.5,1,0.035205866,6,171.3448,0,1,2386.2272
7757,18.0,0,0.047473135,9,170.5422,1,1,3103.9596
764,17.6,1,0.076121831,10,111.7202,0,1,1125.202
6867,8.325,0,0.029845243,6,41.6138,1,1,284.2966
2716,12.85,0,0.137227848,13,155.563,0,1,4224.501
5404,12.6,1,0.099780431,6,225.2088,0,0,447.4176
6657,12.6,0,0.014008751,4,171.3422,0,0,862.211
1372,12.15,1,0.13283066,6,190.6872,1,1,2269.0464
2992,13.85,0,0.031338558,11,41.048,0,1,639.168
333,12.6,1,0.056596985,13,230.9984,2,3,9267.936
1259,20.0,1,0.100262068,0,169.6132,2,0,169.1132
1965,7.825,0,0.079952983,10,62.7826,2,2,1162.4868
5955,19.25,0,0.107940533,9,35.5558,2,1,305.6022
6081,6.11,1,0.0,14,43.0086,0,1,713.7376
1024,16.35,0,0.029445361,9,257.6646,0,1,2061.3168
3184,15.75,0,0.14048631,7,252.7382,2,1,3280.3966
752,12.6,1,0.013529884,6,106.2596,2,3,1402.1748
4678,17.7,1,0.041098734,6,80.9276,2,2,487.3656
5717,21.25,0,0.114246019,8,231.23,1,1,3029.39
4370,17.25,1,0.047266211,13,97.0068,0,1,1846.9292
351,14.5,1,0.063993068,1,260.4594,1,1,5494.8474
1511,8.02,0,0.0,9,157.7972,2,1,1713.7692
4500,12.35,0,0.026832182,3,57.3246,1,1,1332.2658
3091,16.75,0,0.032652796,8,190.8162,1,1,2886.243
4977,5.11,0,0.034874689,9,161.721,0,1,2446.815
7335,15.1,0,0.055793586,9,139.7496,2,1,3952.1888
4055,12.6,0,0.134418705,9,99.67,2,3,2596.62
6499,8.5,0,0.098083231,3,50.3324,1,1,675.1212
3615,10.0,1,0.063121982,5,231.7668,2,1,460.7336
2036,16.6,0,0.122204371,6,173.5738,1,1,1911.5118
7000,14.6,1,0.043133816,6,109.7254,2,2,651.1524
561,19.1,0,0.075836522,4,40.2138,2,0,81.2276
5502,14.8,0,0.019476708,8,193.0794,1,1,3901.588
4706,20.85,0,0.121227447,13,197.5452,1,1,4306.3944
2847,16.0,1,0.099188598,5,88.9856,2,1,1669.8264
4537,12.6,0,0.045900448,13,118.9124,2,3,2844.2976
6315,12.3,0,0.0,0,37.2874,2,1,705.748
2061,15.7,1,0.11521312,3,112.0202,1,1,3150.5656
6739,7.81,1,0.055226755,3,123.1046,0,1,871.5322
6299,8.38,1,0.046960237,0,111.857,0,1,2966.139
3964,14.0,0,0.028980533,8,129.531,2,2,2077.296
4139,15.5,1,0.086184647,5,50.9692,2,2,394.1536
5474,8.395,0,0.072383777,7,251.504,1,1,7084.112
1047,7.85,0,0.162980276,7,145.2444,0,1,1451.444
6720,13.15,0,0.020715913,1,83.5566,0,1,1268.349
1954,10.1,1,0.053887301,6,225.6088,1,1,4250.4672
414,15.7,0,0.160663021,9,59.4562,0,1,829.5868
2845,11.8,1,0.014115626,5,178.5344,1,1,3390.2536
7867,14.65,1,0.099113429,13,52.8666,1,1,461.3994
2166,18.0,0,0.039231652,13,145.1418,1,1,2648.5524
2776,20.25,1,0.022936488,0,240.8538,1,1,7931.6754
7075,10.3,1,0.0,6,189.053,1,1,5313.084
2728,5.365,1,0.234733477,12,173.4764,2,0,171.7764
5680,7.825,1,0.149890395,5,159.0288,2,1,1257.0304
8371,8.27,1,0.214125129,14,183.9924,2,0,185.0924
3025,14.85,0,0.15643727,0,142.0812,2,0,284.9624
4053,12.5,0,0.031097948,6,103.899,0,1,1960.781
4192,12.6,1,0.2004264,0,88.8514,0,0,265.6542
8053,12.6,1,0.0,5,37.0506,2,3,986.7156
1583,9.6,1,0.02734361,13,257.8304,0,1,1808.3128
1412,4.61,0,0.123346085,7,172.5396,1,1,3663.2316
7436,20.25,0,0.0,9,145.6418,2,1,3384.2614
7818,17.75,0,0.058168807,4,249.575,2,0,499.35
1905,9.0,0,0.08630486,13,168.0816,2,2,2181.1608
3315,12.6,0,0.0,0,100.1384,2,3,2956.152
3605,20.5,1,0.112316501,6,193.9478,2,1,4456.1994
7088,12.6,1,0.23653561,15,184.1924,0,0,185.0924
1507,15.0,1,0.026950104,0,220.9456,2,2,1768.3648
2683,5.175,0,0.037457098,3,83.4224,0,1,1448.7808
5950,15.15,1,0.066311153,5,145.776,1,1,3954.852
7305,10.895,0,0.059834024,6,133.5284,2,0,263.6568
842,6.13,0,0.076855207,4,59.3536,0,1,1470.0864
1146,10.8,0,0.0,7,72.338,0,1,805.618
5697,12.6,0,0.08279545,5,245.8776,2,3,4705.8744
5446,17.6,1,0.039381633,13,98.041,2,2,675.787
2244,7.935,0,0.017141985,4,50.035,2,1,149.805
7175,13.6,0,0.010033871,9,177.937,2,2,2293.681
1253,8.26,1,0.032435437,14,124.873,1,1,2956.152
463,6.26,0,0.031599715,9,111.3228,1,1,2431.5016
3715,20.75,0,0.108879177,13,161.5578,0,1,320.9156
5006,8.18,0,0.0,9,140.5154,1,1,1701.7848
5278,10.195,0,0.042113173,13,42.5428,2,2,878.856
6775,12.6,1,0.104786172,13,172.2764,2,3,1545.9876
2855,7.67,0,0.309390255,9,33.2216,2,0,138.4864
5907,11.65,0,0.174049032,4,52.9298,0,1,647.1576
1926,13.1,1,0.098765906,5,196.3768,1,1,2167.8448
8290,19.1,0,0.067676056,9,40.8796,1,1,371.5164
378,16.75,0,0.060495243,4,169.8106,2,1,3251.1014
3066,6.675,0,0.0,13,92.9462,2,2,1018.0082
5956,9.3,1,0.03362713,10,156.1314,1,1,620.5256
1335,16.25,0,0.0,3,90.2804,2,2,1653.8472
1223,6.65,0,0.053397989,3,149.3734,1,1,296.9468
6438,5.94,1,0.049163321,1,186.4556,2,0,563.2668
668,20.0,1,0.104245198,3,105.3622,0,1,1270.3464
